Name,Background
Amol Rajan ,Journalist and Broadcaster
Bella Ramsey ,Actor
James Acaster ,Comedian and Podcaster
James Blunt ,Singer/Songwriter
Jerry Hall ,Model and Actress
Joanne McNally ,Comedian
Joe Lycett ,Comedian
Julie Hesmondhalgh ,Actor
King Kenny ,Content Creator
Leigh-Anne Pinnock ,Singer/Songwriter
Maya Jama ,Broadcaster and Entrepreneur
Michael Sheen ,Actor and Presenter
Miranda Hart ,Actor and Author
Myha’la ,Actor
Professor Hannah Fry,Broadcaster and Mathematician
Richard E. Grant ,Actor and Author
Rob Beckett ,Comedian
Romesh Ranganathan ,Comedian
Ross Kemp ,Actor and Presenter
Sebastian Croft ,Musician and Actor
Sharon Rooney ,Actor
